aid,replicate,roc,pr,dpr,baseline
720076,0,0.9023044466082442,0.9050777066665554,0.4082624200423516,0.4968152866242038
720081,0,0.7211382113821138,0.6554212458281751,0.1777142394587483,0.47770700636942676
720107,0,0.5929892891918209,0.5762935917917797,0.07947830516757592,0.4968152866242038
720113,0,0.7474763920547052,0.7153152857189256,0.24397770610109115,0.4713375796178344
720115,0,0.5110353781239858,0.5661916300042223,0.06937634338001852,0.4968152866242038
720127,0,0.8187276858162934,0.8196560454051128,0.322840758780909,0.4968152866242038
720130,0,0.8133722817267122,0.7892671998219695,0.29245191319776564,0.4968152866242038
720132,0,0.8198051948051948,0.8029498043514846,0.3125039444788731,0.49044585987261147
720134,0,0.9143089430894309,0.9042663147349497,0.4265593083655229,0.47770700636942676
720136,0,0.833820188250568,0.8241597328999537,0.3273444462757499,0.4968152866242038
720137,0,0.7940603700097371,0.7694295176150927,0.2726142309908889,0.4968152866242038
720146,0,0.6728334956183059,0.6874571194030245,0.19064183277882063,0.4968152866242038
720157,0,0.7130081300813008,0.6791112135248136,0.20140420715538687,0.47770700636942676
720162,0,0.9433625446283675,0.932029472455465,0.43521418583126115,0.4968152866242038
720163,0,0.9082792207792209,0.8940062289634001,0.40356036909078863,0.49044585987261147
720175,0,0.802823758519961,0.7803427658420682,0.28352747921786436,0.4968152866242038
720180,0,0.8708576998050682,0.8519333506512456,0.36785691753022653,0.4840764331210191
720185,0,0.6808130081300813,0.6657720181356301,0.18806501176620338,0.47770700636942676
720189,0,0.6973727422003284,0.6259143798782465,0.18005450726678152,0.445859872611465
720191,0,0.6687784275503573,0.6009384126719587,0.11686197955093958,0.4840764331210191
720200,0,0.7499188575137943,0.6997162060421369,0.2029009194179331,0.4968152866242038
720202,0,0.7917478882391162,0.7667104352652827,0.2826340021442636,0.4840764331210191
720207,0,0.7801948051948053,0.7931886471546231,0.30274278728201165,0.49044585987261147
720233,0,0.7692307692307693,0.7347166826541335,0.23790139602992966,0.4968152866242038
720237,0,0.8318727685816293,0.81425677425027,0.31744148762606617,0.4968152866242038
720246,0,0.7342430149447694,0.6814060275129811,0.19732959439196196,0.4840764331210191
720248,0,0.7997403440441415,0.7630857367479282,0.2662704501237244,0.4968152866242038
720251,0,0.8659526127880559,0.8550438149185549,0.35822852829435103,0.4968152866242038
720261,0,0.820675105485232,0.8339204775086058,0.33710519088440194,0.4968152866242038
720262,0,0.7061217844350375,0.679269832518039,0.20793225290020456,0.4713375796178344
720267,0,0.7673701298701299,0.7401594707051091,0.24971361083249766,0.49044585987261147
720276,0,0.6944173969490425,0.6881681252626115,0.19135283863840769,0.4968152866242038
720278,0,0.7640833604689026,0.7483856131387757,0.2770480335209413,0.4713375796178344
720281,0,0.7832520325203252,0.7738887242209347,0.29618171785150793,0.47770700636942676
720285,0,0.9013307367737747,0.8967101484985726,0.39989486187436873,0.4968152866242038
720289,0,0.8167802661473548,0.7918824042829902,0.29506711765878635,0.4968152866242038
720290,0,0.8765853658536585,0.8447808215750473,0.36707381520562055,0.47770700636942676
720295,0,0.863739837398374,0.8450156518688341,0.36730864549940734,0.47770700636942676
720298,0,0.5953541260558803,0.5557794298850007,0.07170299676398162,0.4840764331210191
720310,0,0.6073749187784276,0.5562631153172266,0.0721866821962075,0.4840764331210191
720312,0,0.8291139240506329,0.7701708047355225,0.27335551811131864,0.4968152866242038
720319,0,0.7783187276858162,0.7612639575612277,0.26444867093702384,0.4968152866242038
720323,0,0.8399870172022071,0.800152730758586,0.30333744413438213,0.4968152866242038
720329,0,0.7536231884057971,0.6611864026302925,0.22169595677041987,0.4394904458598726
720331,0,0.8761363636363636,0.8265736854189089,0.3361278255462974,0.49044585987261147
720339,0,0.733203505355404,0.7110041053368316,0.21418881871262774,0.4968152866242038
720354,0,0.6622849724115547,0.6527369429235079,0.1559216562993041,0.4968152866242038
720357,0,0.6047758284600391,0.5815076776893866,0.09743124456836749,0.4840764331210191
720359,0,0.7898409607270366,0.7692313586281382,0.27241607200393436,0.4968152866242038
720361,0,0.9133116883116883,0.9158336515965139,0.4253877917239024,0.49044585987261147
720370,0,0.7133072407045009,0.6306916967143813,0.16572354384813925,0.46496815286624205
720373,0,0.875,0.8485537420245839,0.3581078821519724,0.49044585987261147
